title,description,category,sub_category,type,image_link,availability
Vintage 1992 the Bombay Company Oval Glass Top Entry Console Table,Vintage 1992 The Bombay Company Oval Glass Top Entry Console Table Supported on Two Mahogany Stands,Tables & Desks,Tables,Console tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2104701c-ac26-415d-8b17-fc40bb2fc32c.png,in_stock
Vintage French Country Style Wrought Iron Entry Bedside Bench,"Vintage French Country elegant scrolled & rope wrought iron design, red with a patina finish. Three inch cushion; mustard background with red flowers image of young girl & giraffe in a garden.",Seating,Benches,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ace68fa4-f1e7-48a8-99aa-188ade1ab8ed.png,in_stock
1950s Vintage Louis XVI Style Country French Provincial Solid Oak Cane & Upholstery Back Fluted Legs Chairs - Set of 4,"Exquisite Unique Louis XVI Style Country French Provincial Solid Oak Cane & Upholstery Back Fluted Legs, 2 arm/2 side chairs",Seating,Chairs,Dining Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_68dbcb6d-d914-4bae-8995-367e4660afda.png,in_stock
Mid Century Modern McGuire San Francisco Bamboo Rattan Stools - a Pair,"Genuine pair of bamboo rattan bar stools made in the California organic modern style by McGuire, San Francisco. The chairs feature a thick rattan pole frame banded together with leather rawhide laces. Decorated with an arch motif back splat and topped with a thick 3"" padded floral seat. Excellent joinery and craftsmanship. Makers label and plaque on bottoms of seat. Brown Mustard Color with Black crackle finish. Brass foot rest",Seating,Stools,Bar Stools,https://chairish-prod.freetls.fastly.net/image/product/sized/69b9e021-1ec3-4575-b5c8-6799596d269c/mid-century-modern-mcguire-san-francisco-bamboo-rattan-stools-a-pair-6018,in_stock
Early 20th Century Antique Rotating Flame Mahogany Drum Table With Alternating Tiger Oak Drawers,"Our antique drum table belongs in the same category as the circular multi sided library tables with several drawers actually two drawers in alternating fashion. Between each drawer is dummy drawers, as was typical in those designs. You can have only so many working drawers before running out of room. These antique tables were first introduced in the late 18th century and have a rotating leather or inlay top, standing on a central turned pedestal. The main timber used in construction was Mahogany, usually with veneered drawer fronts and edges. The best quality antique drum tables have oak drawer linings and quality brass handles, I happy to inform you that this item has both.  However, the storage space of the drawers is small for writing pads and pens or a good place to store playing cards. These antique tables were first introduced in the late 18th century and have a rotating top, standing on a central turned pedestal. They are referred to as ‘rent tables’, as traditionally they were used by landlords to keep the accounts of rent money due and paid.  A handsome piece ready to adorn any space in your home.",Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_fd88b132-9d2c-4379-bf16-b1abef4f0873.png,in_stock
Early 20th Century Baroque Style Walnut Trestle Side Table,"Early 20th century Baroque style craved walnut table, more likened as an entry or console table. In great condition, would make a statement piece in any foyer, hallway or living room. The table top is in great condition considering it's age, and the table legs are adorned with beautifully carved split cups supported at the lower end by two trestles each joined by a stretcher. 
Wood has great character, some age related wear but nothing noticeable, as it was carefully maintained throughout it's years.  Wood is highly polished. Would make a great impression in any more room, and compliment the eclectic styling of any home.",Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_3d497f54-a287-4950-9341-0d97b8508e30.png,in_stock
Vintage Single Strand Rattan Pole Ottoman Footstool with Wicker Strappings,"Vintage Single Strand Rattan Pole Ottoman Footstool Wicker Strappings - Cushion not included, made of natural rattan poles. Rattan furniture will allow you to make your house or apartment attractive, cozy and stylish. Wicker rattan furniture is not only beautiful and comfortable, but also environmentally friendly, it gives you the feelings of warmth and grace.",Seating,Ottomans & Footstools,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_b742e81f-9d04-43c8-a127-e647586ddbb2.png,in_stock
1990s Vintage Rustic Hand Crafted Hardwood Window Back Dining Chairs - Set of 4,"The Chairs were made in India. Hand crafted, the wood derived from the Mango tree and is considered to be a hardwood. This strong and dense wood ranked very high on the Janka Hardness scale. The Mango tree is mainly found in the tropics, but can be originally traced back to ancient India.
These handcrafted attractive chairs share a strength, density (lift one up and you'll understand),and attractive looks that is ideal for the dining room.  They have character and will make a presence in any room.  It's hardwood makes it ideal for heavy traffic areas sturdy and resistance to bodies in motion. They keep their high luster texture for many years just ""simply"" wipe and shine.",Seating,Chairs,Dining Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_bc5355a9-9a1c-4bbe-b8dc-f0ad81d329eb.png,in_stock
Hacienda Style Southwestern Hardwood Accent Desk Chair,"Hacienda Style Southwestern Hardwood Accent Desk Chair, Carved Reversed Scrolled Legs, Stretcher Base, Upholstery Front Diamond Pattern in Red, Corral, Olive & Tan, with Decorative Nails, Leather Back, Leather Seat with Decorative Clavos",Seating,Chairs,"Office Chairs, Dining Chairs",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2d79665e-aea4-4579-9f8b-568169d12643.png,in_stock
Vintage 1930s Venetian Baroque-Styled Large Framed Rectangular Mirror With Marbleized Glass Accent by Eker-Shane,"This mirror is striking in appearance, it's a one-of-kind, would make a great entry or mantle mirror. It belonged to a retired military/executive who while station in Italy learned the language, married an Italian woman (since divorced and remarried) he came to love all that's Italian. The mystery remains, why, purchase an Italian-style mirror in an American furniture store, in Ohio, for goodness sake. Draw your own conclusion. It remains a distinctive piece, one suitable in any home.",Decor,Mirrors,Wall Mirrors,https://chairish-prod.freetls.fastly.net/image/product/sized/261491a7-f90b-4217-a87b-b5c50051b7ae/vintage-1930s-venetian-baroque-styled-large-framed-rectangular-mirror-with-marbleized-glass-accent-by-eker-shane-5998,in_stock
Tall Neoclassic Style Heavy Ceramic Black Colored Vases/Urns Mounted to Round Brass Bottoms Accented by Extended Brass Handles - A Pair,"As the Rococo style was in decline, archaeological discoveries, particularly uncovered sites at Pompeii and Herculaneum, stimulated the minds of craftsmen and designers across Europe. Also, widespread travel occurred with Westerners visiting Italy, Greece, and the Middle East. At the same time, a veritable slew of publications in Europe covering these archaeological digs and publishing about these finds. Overall, there was a massively increased interest in the Classical Era at this time. 
 The “Grand Tour” of Europe, which intellectuals and aristocrats saw as part of the education of the modern European gentleman, comprised an extended visit to Rome, among other places, and many went on to Greece. This led them through a haven of Classical design styles and motifs. Everyone wanted to experience the beauty of the Hellenic Period back at home.
 The neoclassic style developed in France then quickly spread throughout Europe and to the United States. Enjoy our vases for they are a beautiful way to celebrate an important period in humankind.",Decor,Decorative Accessories,Vases,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6d71cf1e-a584-4b4a-82d4-d688c1e969a0.png,in_stock
Black Carved Greek Key Accent Beveled Mirror by Sterling,Greek Key Accent Beveled Mirror Black Frame Gold trim outside of frame and mirror Carved Gold Greek Key Motif by Sterling,Decor,Mirrors,Wall Mirrors,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_837cc4dd-5f2c-4cb5-bd05-1f55e376e657.png,in_stock
Vintage Gilded Baroque Style Mantle Mirror,"Vintage Gold Bronze Gilded Baroque Style Over Mantle Mirror Carved Wood With Detailed Embellishments. This mirror can stand alone in a bare room or one above a roaring fire, its beefy wood frame is plenty wide to make a distinct presence in any room. Even when it's not above a mantle and just resting against a wall - looking out of place in a half-empty room, I noticed it. It was labeled NFS (Not-For-Sale), yet I inquired and persisted. The new owner of the house wanted to keep it for themselves, I insisted that it better served my interest to serve you. She agreed to sell it to me, later, we restored the gilt and sheen and hung it on the wall...the rest is history.",Decor,Mirrors,Wall Mirrors,https://chairish-prod.freetls.fastly.net/image/product/sized/d284415c-e823-4147-abc0-009746a247be/vintage-gilded-baroque-style-mantle-mirror-4752,in_stock
French Gilt Wood Framed Wall Mirror,"Vintage Gilt Wood Framed Wall Mirror Intricately Carved French Provincial Gilded Grisaille Style Motif. This mirror hung over a home bar from the 60s to the 90s, it looked great and easily outclassed the plastic-covered gilt sofa and love chair. When it was given to me, I had to sit at that bar and open a bottle of Pinch, I felt so lucky.",Decor,Mirrors,Wall Mirrors,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6e534838-9eb6-412e-8f6e-f8c97cf026b3.png,in_stock
1970s Chinese Chippendale Metal Faux Bamboo Gilt Etagere,"Chinese Chippendale Metal Pagoda Faux Bamboo Gold Gilt Etagere Beveled Glass Five Tier Display Unit Glass shelves attached to wood backing, attached to shelving unit",Storage,Bookcases & Shelving,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7a376f32-fc59-4b3a-ae46-8eccc2115466.png,in_stock
"Antique 1900s Italian Rococo Baroque Style Gilt Wood Over-Mantle Mirror With Carved Wood Embellishments, Made in Italy","Antique Italian Rococo Baroque style wood gold gilded mirror with craved wood intensely stylized with detailed embellishments that achieve an exuberant style. Great for elegant dining rooms and eclectic hallway or entryways. Heck, its beauty can transcend any room in the house.
 We obtained this beautiful mirror from an estate at the Broadmore, in Colorado Springs. The family's mother received it from an uncle who migrated from Italy to New York City three generations ago. I can only imagine its lineage; from flats to brownstones to a Tudor style home at the Broadmore with two chimneys, a formal dining room and a library. Such is life.",Decor,Mirrors,Wall Mirrors,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_3426ca9a-0a26-4352-861f-030f8b864f66.png,in_stock
Bombay Company Neo-Classical Style Cherry & Walnut Hardwood Veneer Inlay Top Two Tier Accent/Entry/Side/Lamp Table,Bombay Company traditional Neoclassical style cherry & walnut hardwood veneer inlay top two tier accent/entry/side/lamp table supported with three fluted legs veneer inlay second tier,Tables & Desks,Tables,Accent & Side tables,https://chairish-prod.freetls.fastly.net/image/product/sized/ae8753d4-43c3-49ee-bea6-ae7015f7b2f9/bombay-company-neo-classical-style-cherry-and-walnut-hardwood-veneer-inlay-top-two-tier-accententrysidelamp-table-3670,in_stock
1930s Vintage Victoria Oak Corner Chair,Vintage Victorian Oak Corner Chair Cherub Head Carved Crest Rail Griffins Carved Back Splats Arms Carved acanthus leaves supported turned legs leather upholstery,Seating,Chairs,Accent Chairs,https://chairish-prod.freetls.fastly.net/image/product/sized/c859aa6b-2d41-40f4-b67a-5a893cfe63f6/1930s-vintage-victoria-oak-corner-chair-4521,in_stock
1970s Chinese Ming Dynasty Style Dark Cherry Mahogany Chairs - Set of 6,"These items contain a material that cannot be shipped outside of the contiguous United States. 
 Chinese Ming Dynasty Style Dark Cherry Mahogany Six Dining Arm Chairs Carved Details Foot Rest Joinery Wood, slightly bowed rectangular Carved Detail back splat, joined by peripheral stretchers
This item includes restricted materials and can not be sold outside of the contiguous United States.",Seating,Chairs,Dining Chairs,https://chairish-prod.freetls.fastly.net/image/product/sized/9a44457f-f7cd-46c6-aee6-644a7a8a1d9e/1970s-chinese-ming-dynasty-style-dark-cherry-mahogany-chairs-set-of-6-8326,in_stock
Antique Renaissance Revival Carved Oak Barley Twist Throne Arm Chairs - a Pair,Pair Antique Renaissance Revival Carved Oak Barley Twist Throne Arm Chairs Cane Back Dark Brown Gray Upholstery,Seating,Chairs,Dining Chairs,https://chairish-prod.freetls.fastly.net/image/product/sized/00005898-2ef4-4001-9c2a-226678a7ae9a/antique-renaissance-revival-carved-oak-barley-twist-throne-arm-chairs-a-pair-8419,in_stock
Fanciful Bohemian Style Accent Chrome and Oak Chairs - a Pair,"A Pair of Fanciful Bohemian Accent Styled Brush Chrome and Oak Chairs, perfect for game rooms, hallways, kid's room, and anywhere you what to make a statement. The chairs were a local product here in Denver, Colorado. Sadly, we lost contact will the maker over the years, otherwise, we would have a small army of these chairs. They are so much fun!",Seating,Chairs,Dining Chairs,https://chairish-prod.freetls.fastly.net/image/product/sized/c8c5123f-7edb-478d-831d-7aebbc3a46dd/fanciful-bohemian-style-accent-chrome-and-oak-chairs-a-pair-3442,in_stock
Antique Serpentine Marble Top Tiger Oak Dresser Entry Washstand,Antique serpentine marble top tiger oak dresser entry table washstand w/towel rack one drawer over two door cabinet original brass hardware dovetails by Hawley-Slate Furniture,Storage,Dressers & Chests of Drawers,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_81d996a4-0bf7-4322-abf4-5f27a6878cba.png,in_stock
20th Century Traditional Henredon Crotch Mahogany Sideboard,20th century traditional Henredon crotch mahogany sideboard bowed cabinets backsplash brass empire hardware dovetail joints supported on 6 carved claw feet key included.,Storage,Sideboards & Credenzas,,https://chairish-prod.freetls.fastly.net/image/product/sized/b606fcd3-f2d3-4071-86d0-6067cb7d95b1/20th-century-traditional-henredon-crotch-mahogany-sideboard-7535,in_stock
1980s Round Oak Mahogany Stain Coffee Table,Unique Round Oak Mahogany Stain Carved Flowers Low Profile Coffee Table,Tables & Desks,Tables,Coffee tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_39ec0bd5-3769-4d3a-944c-1d869ccef2e7.png,in_stock
Vintage Renaissance Revival Style Fireside Accent Chair,Vintage Renaissance Revival Style High Back Fireside Accent Chair Carved Birds Mahogany Velvet Upholstery Nail Head Details Feet W/Lion Paws,Seating,Chairs,Accent Chairs,https://chairish-prod.freetls.fastly.net/image/product/sized/acb1ed2a-6f75-44d4-ae18-a5659a9b33b7/vintage-renaissance-revival-style-fireside-accent-chair-3240,in_stock
Vintage Renaissance Revival Style Lion Heads Fireside Accent Chair,Vintage Renaissance Revival Style Lion Heads Fireside Accent Chair Carved Mahogany Velvet Upholstery Nail Head Details Feet w/Lion Paws,Seating,Chairs,Accent Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_994f8d56-6e15-487e-8b4c-1111b2b83324.png,in_stock
Jelliff Victorian Renaissance Revival Side Chairs - a Pair,"John Jelliff Victorian Renaissance Revival 2 Side Chairs, Walnut Frame Ornately Carved, Central Head Medallion of Jenny Lind Planked by Pine Cones, Burled Accent Panels, Tufted Chenille Upholstery, Turned Legs, Brass Caster Wheels",Seating,Chairs,Accent Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2f010424-0a8c-4f49-b17c-9847a75794d9.png,in_stock
Jelliff Victorian Renaissance Revival Arm Chair,"John Jelliff Victorian Renaissance Revival Arm Chair, Walnut Frame Ornately Carved, Central Head Medallion of Jenny Lind Planked by Pine Cones, Burled Accent Panels, Tufted Chenille Upholstery, Turned Legs, Brass Caster Wheels",Seating,Armchairs,Arm Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_22db12e6-397e-44e9-8f53-331604f27474.png,in_stock
C.1950 Asian Brass Tray Table With Folding Spider Table,"Pie crust edged shape, decorative hammer forged brass tea tabletop, with Asian symbolic animal motifs phoenix/dragon, raised forged scalloped trim surround, with hand forged floral details throughout, oxidized patina, indicative to aged brass pieces. Standing on a folding Mahogany base with four Spider legs and brass finials. 5.5” of the scalloped edge has broken off.",Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_185f7dfb-4dcf-4a24-a65c-841194970ce9.png,in_stock
Vintage Brass Asian Temple Candle Holders - a Pair,"Tall Asian temple candle holders standing at 32 inches from base to socket, and nine inches wide at bass. It's made of solid brass. Elaborately engraved dragon heads are depicted on each of the two nodes and sockets. The Bobeche (bowl-shaped piece directly under the socket) is nine inches wide. The socket (vertical section where the candle sits) is seven and a half inches tall. The pair of candle holders are in excellent condition.",Decor,Decorative Accessories,Decorative Accents,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_ef3fe9e8-ff75-49f7-a6ca-500ffb7d1a0f.png,in_stock
Antique Old World Carved Shield Back Armchair,The shield back is enhanced with scroll leaf carvings and a decorative wood back spat.  Carved splats support armrests.  Burgundy and tan tapestry upholstery.  This accent chair is supported on hoofed legs,Seating,Armchairs,Arm Chairs,https://chairish-prod.freetls.fastly.net/image/product/sized/85be7105-ad0b-4d41-b37a-b139f2ac1dae/antique-old-world-carved-shield-back-armchair-4649,in_stock
Vintage Mid-Century Modern Bentwood Bamboo Rattan Armchairs - Set of 4,Set of four vintage mid-century modern bentwood bamboo rattan armchairs. Gorgeous chairs in great vintage condition. Solid and firm. Wear is usual for its age. Please see photos. Overall gorgeous chairs that you will love having in your home!!,Seating,"Chairs, Armchairs","Arm Chairs, Accent Chairs",https://chairish-prod.freetls.fastly.net/image/product/sized/eb673093-efbd-4f82-92d0-1e571a133412/vintage-mid-century-modern-bentwood-bamboo-rattan-armchairs-set-of-4-3365,in_stock
Antique Mahogany Marquetry Pearl Inlay Accent Chair,"Antique 19th century beautifully decorated mahogany chair found it's way to us through a friend that decided she wanted to clean house because she was moving to Kentucky. The chair belonged to her mother-in-law which she had brought from Germany (home town) in the 1920s. Of course, when she asked if I wanted it I took one look and promptly accepted.

It's delicately detailed with pearl inlays supported by splats on the back and arms sitting on tapered legs. Silk quilt upholstery on the seat with an extra pillow and option use the silk quilt or turn it around and show off the floral tapestry on the reverse side. It's a one of kind. Enjoy it.",Seating,Chairs,Accent Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2dd248d5-7de4-4a20-a3ac-26d2e2e64793.png,in_stock
2000s French Provincial Style Cane Back Olive Fleur-De-Lis Print Upholstery Accent Armchair,French Provincial Cane Back Olive Fleur-de- Lis Print Upholstery Accent Armchair,Seating,"Chairs, Armchairs","Accent Chairs, Arm Chairs",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_7aea7973-a01d-4521-b7fd-3421b856f900.png,in_stock
1950s Gray Vinyl French Country Wing Back Style Dining Chairs With Nailhead Trim- Set of 4,French Country Wing Back Dining Chairs Gray Vinyl Nail Head Detailing Steel Supported Frame Silver w/Hint of Teal Painted Legs Set of Four,Seating,Chairs,Dining Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_c0ddbd1e-67fc-4881-b60c-f2e70c2ce299.png,in_stock
Vintage Distressed French Country XVI Styled Arm Side Chairs in Chenille Upholstery - a Pair,"Pair Vintage Distressed French Country XVI Arm Side Chairs Chenille Upholstery Zippered three inch cushions, gold and black flack paint color.
If you like martinis and getting caught in existential conversation.  If you are not into staying home on stormy nights – If you like the rich and famous walking through your door.  Then you may like the owner of the chic French Country arm chairs.  We learned many things about the owner of the estate, at a discreet gathering.  The most intriguing thing about her was, that she once partied with the 1950’s stars and socialites.  Among her favorite people were Cary Grant and Grace Kelly.  She had a flare for clothing and a gift for gab and a bucket load of money.  Oh, those were the days…",Seating,"Chairs, Armchairs","Accent Chairs, Arm Chairs",https://chairish-prod.freetls.fastly.net/image/product/sized/4d56499e-8106-4849-9f33-41e1a936a7cb/vintage-distressed-french-country-xvi-styled-arm-side-chairs-in-chenille-upholstery-a-pair-3583,in_stock
1990s Vintage Expedition Cabinet Moorish Style by Drexel,"Circa 1990s Display Cabinets, ""Expedition by Drexel"" Moorish Styled Arched Beveled Glass Doors Recessed Ambient Lighting Thick Tempered Glass Shelves.
Pointed arches, repeated striated markings and a painted finish accents these cabinets like no other, I have seen. You can feel the Moorish art style more closely if you come up close, feel the painted finish with your hands. Travel the rounded arches coming to a point on the doors with your eyes, feel the notches of the subtle striated markings and touch the mocha colored skin of the cabinets notice their smoothness. Know that this is a representation coming together to form art and function. What better way to live…",Storage,Storage & Display Cabinets,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_e588e60e-f5e7-4456-8889-e8d8a490a79e.png,in_stock
Vintage Victorian French Rococo Revival Style Plaid Chenille Balloon Back Chairs- a Pair,"The chair features a walnut balloon shaped frame, flanked by three carved ridges, curved lower back rail with carved center splat back, hip rests, serpentine apron on Cabriole legs. Plaid Chenille Upholstery.",Seating,Chairs,Dining Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_a04e84c4-8add-4d73-98d0-a60dcfdd1dab.png,in_stock
Asian Huntley by Thomasville Carved Armoire Wardrobe,"Wardrobe armoire Asian style Huntley by Thomasville. Features carved details, original brass hardware inside, 2 shelves, 4 drawers, dove tail joints and gold gilt.",Storage,Armoires & Wardrobes,,https://chairish-prod.freetls.fastly.net/image/product/sized/64f43557-c104-46df-9a18-0d6689045ecd/asian-huntley-by-thomasville-carved-armoire-wardrobe-8731,in_stock
1990s Vintage Sarreid of Valmazan Chippendale Suede Seat Upholstered Ottoman,"Minimal, yet, classy vintage suede upholstered ottoman by Sarreid of Valmazan this ottoman featuring Sarreid's classic distressed wood finish complete with a round tack edged suede upholstered seat. 
Sarried furniture was established in 1967, and produces furniture found in fine furniture stores. Designs executed with fine materials and craftsmanship. If you are in the hunt for complimentary pieces, add this unique piece to your collection.",Seating,Ottomans & Footstools,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_f6eabfb0-a0ed-4fc5-a697-264759508ba0.png,in_stock
Late 20th Century Rattan Accent Armchairs with Floral Cushions- a Pair,"Much can be said about the history of rattan chairs, they date hundreds - ok thousands of years. First rattan furniture company in the United States dates back as far back as the 1840's. In South Reading, Massachusetts, a factory right here in the U.S.A and a long time ago. But, that's not my point.
Back in the day of Hollywood when far-off South Seas movies seem a romantic fantasy. Hollywood set designers in films were using rattan chairs in outdoor settings. Cementing our desire for rattan furniture, so figure…here we have two beautiful rattan specimens. Have at it - have a seat on our rattan Hawaiiana chairs!",Seating,"Chairs, Armchairs","Accent Chairs, Arm Chairs",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_9d2699a9-a32d-4f68-969b-32a730070fe4.png,in_stock
Neoclassical Regency Style Accent Side Armchair,Neoclassical Regency Style Accent Side Armchair Hardwood Fretwork Black Gold Lacquer Hand Painted Designs Decorative Nails Black Gray Gold Upholstery,Seating,"Chairs, Armchairs","Accent Chairs, Arm Chairs",https://ik.imagekit.io/kuj9zqlrx0or/no_bg_e96f0861-5706-49f0-9536-1c4be8f013e7.png,in_stock
Antique Victorian Carved Mahogany Tuft Floral Tapestry Upholstered Parlor Armchair,"A traditional Victorian parlor armchair, made of mahogany. Beautifully upholstered floral upholstery armchair with open sides. The upholstery is flawless, done with great care and expertise. The wood frame is carved and in great shape with no chips or nicks. A stunning example of the Victorian historical and aesthetic era. While the chair has not been declared, we believed this chair was made in the late 19th century, c1870s.",Seating,Armchairs,Arm Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_d0044c84-c1be-4e6d-a310-98fed8600cec.png,in_stock
French Country Counter Stools - a Pair,French Country Low Counter Bar Stools Cane Back Swivel Seats Upholstery Metal Gold Footrest,Seating,Stools,Bar Stools,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_137f1d15-ab1e-4630-a48e-1aac2d6616c7.png,in_stock
1960's Stiffel Hollywood Regency Gold Brass Acanthus Leaf Detailing Black Enamel Accent Table Lamps - a Pair,"1960's Stiffel Hollywood Regency Gold Brass Acanthus Leaf Detailing Black Enamel Accent Table Lamps-Pair, Solid Heavy",Lighting,Table Lamps,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_66ce4228-b251-4d1c-a0dd-ee7619cfab58.png,in_stock
Asymmetrical Upholstered Chocolate Olive Velvet French Chaise with Fringe,"Asymmetrical French Chaise Upholstered Chocolate Olive Velvet Contrasting Gold Bullion Fringe Scrolled Arms...I picture this classic chaise lounging in a gorgeous boudoir or sitting handsomely in a jazzy comfortable study. Better yet, how about waiting for conversation in an elegant home bar room with the lights dimmed low and in the corner of the room on a pedestal a Venus De Milo mini-me.  What style!",Seating,Chaises & Daybeds,,https://chairish-prod.freetls.fastly.net/image/product/sized/d7bfdfc2-e660-47af-9d85-026325c3ba62/asymmetrical-upholstered-chocolate-olive-velvet-french-chaise-with-fringe-4141,in_stock
Vintage French Louis XVI Gold Side Tables - a Pair,"Vintage French Louis XVI Gold Side/End Tables Smoked Gold Veined Mirror Glass Top Carved Trim Supported on Carved Turned Legs - Pair
If you like martinis and getting caught in existential conversation.  If you are not into staying home on stormy nights – If you like the rich and famous walking through your door.  Then you may like the owner of the chic and smoky mirror side tables.  We learned many things about the owner of the estate, at a discreet gathering.  The most intriguing thing about her was, that she once partied with the 1950’s stars and socialites.  Among her favorite people were Cary Grant and Grace Kelly.  She had a flare for clothing and a gift for gab and a bucket load of money.  Oh, those were the days…",Tables & Desks,Tables,Accent & Side tables,https://chairish-prod.freetls.fastly.net/image/product/sized/900f913b-488e-4fff-8acd-a35ef1691a7a/vintage-french-louis-xvi-gold-side-tables-a-pair-9988,in_stock
"1980s Traditional Color Flora Embossed Metal Accent Small Table With Intricate Embossed Detailing, One Upper Drawered and Lower Cabinet Door","Embossed metal table design with a copper finish creates intricate and decorative floral patterns on the surface. The metal sheet is stamp creating a three-dimensional effect adds depth and texture to the table's surface.
This traditional embossed table is a great and unique accent piece in living rooms, dining rooms, and outdoor spaces. Overall, embossed metal table designs are a beautiful and unique way to add a touch of elegance to any space.


Condition: Good overall, gentle wear commensurate with gentle use. Overall presents handsomely.
This piece is in great vintage condition. Solid and firm. Shows minimal wear for its age. Good condition, original condition unaltered, some imperfections. Please keep in mind that this is a vintage piece that may have signs of normal wear, this is what gives its character and confirms its age. Some color variation in photos of our furniture finishes and fabrics is possible due to the lighting and different color resolution on computer monitors.
Note: Please review all photos, as they are considered part of the item description.",Tables & Desks,Tables,Accent & Side tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_6ef9e2e6-61b4-44d9-b1cf-8f9ab77a5e44.png,in_stock
Early 20th Century Antique French Louis XVI Style Carved Fruitwood Burgundy Chair,"19th Century Antique French Louis XVI, Beautifully Carved Floral & Leaves details throughout, Burgundy Floral Tapestry, Decorative Nail Heads front & back of Chair, Carved Hoof Legs.",Seating,Armchairs,Arm Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_35506d48-940b-41e4-9be9-cd89fc7b80a8.png,in_stock
John Widdicomb Mid-20th Century Ming-Styled Coffee Table With Tempered Glass Top Painted in Floral Design With Glided Wreath Detailing,"The John Widdicomb Furniture Company has been remembered as a company of high standards, quality and influencer in the furniture design business.  They are best known for their bedroom furniture.  Still popular and a market driver, quality never goes out of existence.  Yet, companies all have a life cycle and the company went out of business in 2022, then the Stickley furniture company purchased the company's name and design rights, certain pieces are produced by Stickley under a special collection name.  Ensuring Widdicomb's legacy continues to be associated with high quality and craftmanship.

The quality of our piece is no different, it is almost like new, honestly. There are no scratches or reminders of a hard life, heck, the piece is so clean you could do without the glass top - but accidents happen - so at least you have an option.",Tables & Desks,Tables,Coffee tables,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_2ca3a43f-6d74-49d8-9fdb-9dcbc92144fa.png,in_stock
Accent Cocktail Ottoman Leather Hand Tufted Top by Our House Designs,"Our House Designs is a high-end manufacturer of transitional and traditional upholstered furniture, each piece is built by hand in their factory in the foothills of North Carolina, uses select premium quality fabrics and leathers, solid hardwood frames and providing the highest standard of comfort and durability for support and shape. Upholstery from Leather Masters, the piece has decorative nails, bronze ornate trim and feet.

One other thing tufted ottomans have a more durable and long-lasting fabric due to the tufting technique, which also reduces unwanted material bunching. This type of ottoman has distinctive hills and valley contours, making it stylish enough to complement traditional décor in a room. I could a few more things but why? You like it don't you.",Seating,Ottomans & Footstools,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_9ca2f818-674e-48ae-b9f7-94496fd1a913.png,in_stock
Vintage French Country Style Ottoman with Bun Feet,"French Country Style furniture is known for its rustic, charming, and elegant style that incorporates natural materials and a warm color palette. Some of the features that are commonly found in French country ottomans with bun feet are a common feature in French Country include, Upholstered Floral Harvest Tapestry, these colors are meant to evoke a sense of warmth and coziness in the home, Jute Webbing for additional support.
Overall, a traditional French country ottoman with bun feet is typically a charming and elegant piece that incorporates natural materials, rustic details, and a warm color palette.",Seating,Ottomans & Footstools,,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_33dc20ea-0f88-4773-a2e6-6004d07ff667.png,in_stock
1950s Vintage Louis XVI Style Country French Provincial Solid Oak Cane Back & Upholstery Seats Fluted Legs Chairs - Set of 4,Unique Louis XVI Style Country French Provincial Solid Oak Cane Back & Upholstery Seats Fluted Legs Four Side Chairs,Seating,Chairs,Dining Chairs,https://ik.imagekit.io/kuj9zqlrx0or/no_bg_640121fb-21be-42e5-9f1e-b3d7de3a984e.png,in_stock
